steamId,name,premier_rating,match_kills,match_deaths,match_kd_ratio,match_leetify_rating,match_damage,match_rounds_count,aim,positioning,utility,clutch,opening,ct_leetify,t_leetify,accuracy_enemy_spotted,accuracy_head,counter_strafing_good_shots_ratio,ct_opening_aggression_success_rate,ct_opening_duel_success_percentage,flashbang_hit_foe_avg_duration,flashbang_hit_foe_per_flashbang,flashbang_hit_friend_per_flashbang,flashbang_leading_to_kill,flashbang_thrown,he_foes_damage_avg,he_friends_damage_avg,preaim,reaction_time_ms,spray_accuracy,t_opening_aggression_success_rate,t_opening_duel_success_percentage,traded_deaths_success_percentage,trade_kill_opportunities_per_round,trade_kills_success_percentage,utility_on_death_avg
76561198095842718,Levitate,10745,10,16,0.63,-0.0206,1202,23,58.7064,43.6441,56.0703,0.0925,-0.0143,-0.0087,0.0065,31.6541,13.2793,82.8231,21.8298,30.7846,1.9774,0.8251,0.2384,5.5208,2.2222,11.3302,0.4708,9.4449,663.0245,36.5037,31.3046,36.8927,52.1477,0.3364,39.1897,356.0147
76561199779787043,stormtrooper,11579,12,14,0.86,-0.0334,1231,17,82.3814,55.567,63.6792,0.1402,0.0131,0.0234,0.0266,37.277,28.6298,87.0152,44.96,53.9806,2.9143,0.6349,0.4527,6.8208,13.4931,7.1334,0.3377,11.0035,685.1306,35.749,31.9299,34.2495,53.2216,0.2569,54.4893,284.8471
76561198804674727,蘑菇小姐🎀,10367,16,24,0.67,-0.0621,1731,30,9.3418,24.5097,31.6007,0.0622,-0.0486,-0.0452,-0.051,27.8841,7.9759,54.0771,13.3023,25.66,0.2412,0.1294,0.1387,0.0,0.1294,10.6884,0.3125,11.9274,662.9969,26.6593,16.7436,17.9251,47.949,0.248,36.4336,274.5116
76561198044227625,Keefergen,11031,28,24,1.17,-0.0083,2910,30,65.9097,61.4092,40.3416,0.1277,0.0261,0.0363,0.0143,38.2352,15.1164,78.9076,27.3126,48.654,1.7208,0.4971,0.4608,1.1746,1.4581,15.3856,0.2777,10.5207,648.3906,36.6364,45.7905,49.1679,60.1616,0.3314,45.4354,523.3392
76561198348634004,Rookyish,11636,21,23,0.91,-0.0162,2461,30,43.6441,44.0382,31.5945,0.1167,-0.0299,-0.0259,-0.0117,29.5117,12.5681,76.0123,35.9554,48.3674,1.2211,0.4815,0.3601,1.3629,1.9112,9.773,0.0097,11.448,643.919,37.9902,30.4782,36.4619,52.2638,0.2208,41.2934,361.2617
76561198013843208,FattyMcDon,11441,16,22,0.73,-0.0184,2096,30,27.4253,44.433,60.8108,0.143,-0.0081,-0.0158,-0.0051,31.1231,12.1467,66.6285,16.4489,26.1417,2.7728,0.7323,0.3359,6.3721,12.3847,2.19,0.3621,11.8627,689.1781,33.882,34.4305,40.7158,46.9565,0.3543,44.6723,362.2528
76561198087520850,Cxgnus,10004,25,14,1.79,0.0741,2250,24,80.2338,51.9939,51.3478,0.1337,-0.0021,0.0283,0.0212,41.8142,12.5556,85.6684,31.3947,36.1362,2.0445,0.6323,0.2679,6.5925,2.9105,14.6769,0.1105,9.7807,620.6476,39.5333,30.8158,33.4825,49.2939,0.3546,53.2967,441.4095
76561198884125619,DungeonNerd,10411,10,5,2.0,0.0621,885,12,43.6441,54.3795,37.7536,0.1769,-0.0151,0.0136,0.0121,34.3252,13.7046,62.5023,37.3314,47.6051,2.4781,0.3806,0.3083,7.9321,6.0894,6.8468,1.6955,10.8446,634.3295,39.7778,29.4161,36.4633,50.7627,0.3296,49.5562,492.8791
76561198396072192,aiden.weiskittle,11919,25,13,1.92,0.1017,2085,23,44.433,66.2757,46.4192,0.1621,0.0307,0.0338,0.053,28.1951,19.7033,74.3915,47.8648,57.287,2.6691,0.4997,0.424,4.2968,10.606,8.3532,0.0876,10.626,623.843,25.6518,51.5931,54.3011,45.4556,0.3511,40.9248,174.5699
76561198347779752,puppygirl :3,10705,24,8,3.0,0.1082,2159,19,88.493,69.1462,45.7424,0.1561,0.0421,0.0481,0.0514,40.5116,23.0761,88.302,54.3553,58.6411,2.5054,0.6292,0.2518,5.0054,5.5983,7.8398,0.1353,9.4103,643.6168,38.9361,41.9156,48.008,56.6254,0.3388,46.8308,374.7109
76561198868823712,cooljam,10878,16,16,1.0,-0.0262,1664,21,75.8036,51.5953,47.188,0.0774,0.0079,0.009,0.0024,36.9821,14.1985,87.7381,28.5539,36.2337,2.1701,0.4565,0.3536,4.9005,5.3464,4.9885,0.1936,8.8036,639.0899,35.3228,35.2774,43.5702,54.906,0.3682,34.9583,241.1716
76561198082944623,Pentatonic,11731,26,22,1.18,-0.0058,2880,30,73.5653,48.8033,67.6765,0.1686,0.0085,0.0029,0.0036,36.2378,19.3174,82.3761,35.5879,40.0976,2.9953,0.5859,0.2667,3.7046,12.9589,11.1897,0.9904,10.8398,627.1883,37.528,34.7266,45.0949,47.5042,0.2561,49.2314,282.2168
76561198222028104,Frameshift22,11624,21,18,1.17,0.0347,2092,30,60.2568,53.1881,49.4373,0.114,-0.0127,0.014,-0.0032,36.7257,12.45,78.875,30.7728,40.3555,2.2744,0.3991,0.2245,6.6174,4.8099,7.9778,0.0155,11.0408,658.7357,40.4517,33.4409,40.0351,52.6723,0.3045,54.4268,312.0696
76561198378039054,Jew,10750,22,14,1.57,0.0325,2375,23,71.226,60.2568,47.7448,0.0887,0.0025,0.0027,-0.003,34.6733,16.3406,83.5078,48.086,55.4878,2.2398,0.505,0.1518,2.3906,4.4564,9.8049,0.3311,9.6514,625.1455,36.5575,34.7497,39.9056,55.1532,0.3428,39.256,395.6401
76561199502835702,KRYSTAL <3,10124,24,20,1.2,0.0599,2746,23,51.9939,73.5653,76.7092,0.094,0.0452,0.0089,0.0359,33.6007,12.8619,76.9708,47.0094,56.5097,3.2451,0.6858,0.3673,21.3388,14.7673,11.6774,0.364,12.0024,603.1981,35.2284,54.1893,63.8337,55.7078,0.3184,52.9921,336.5346
