steamId,name,target_rating_system,target_rating,premier_rating,faceit_level,faceit_elo,leetify_rank,wingman_rank,renown_rank,match_kills,match_deaths,match_kd_ratio,match_leetify_rating,match_damage,match_rounds_count,aim,positioning,utility,clutch,opening,ct_leetify,t_leetify,accuracy_enemy_spotted,accuracy_head,counter_strafing_good_shots_ratio,ct_opening_aggression_success_rate,ct_opening_duel_success_percentage,flashbang_hit_foe_avg_duration,flashbang_hit_foe_per_flashbang,flashbang_hit_friend_per_flashbang,flashbang_leading_to_kill,flashbang_thrown,he_foes_damage_avg,he_friends_damage_avg,preaim,reaction_time_ms,spray_accuracy,t_opening_aggression_success_rate,t_opening_duel_success_percentage,traded_deaths_success_percentage,trade_kill_opportunities_per_round,trade_kills_success_percentage,utility_on_death_avg
76561198086331397,Audii,faceit,10,27035.0,10,2714.0,0.98,18.0,,8,16,0.5,-0.0385,939,17,91.3085,61.7911,44.2018,0.1439,-0.0001,0.0117,0.0079,36.0523,28.8063,84.1589,39.4047,47.5745,2.1775,0.5984,0.3494,9.8485,3.981,6.4697,1.2556,8.4142,596.7431,40.8053,35.905,42.0544,55.9282,0.3373,53.8282,422.5259
76561198384088865,Chef777,faceit,10,28122.0,10,2464.0,1.34,17.0,,7,15,0.47,-0.0493,1057,17,90.1475,58.7064,62.2009,0.1476,0.0084,0.0224,0.0051,34.7479,28.3834,81.8772,41.1647,52.7957,2.8809,0.5913,0.4313,9.241,12.703,9.1707,0.9825,8.9822,542.1248,39.2153,32.7014,37.1248,45.9789,0.3666,49.2263,338.7994
76561198046578484,PUMPPPPPPP,faceit,10,30020.0,10,3140.0,2.45,15.0,,19,9,2.11,0.0463,1918,17,80.2338,68.0822,70.7431,0.1105,0.0281,0.0206,0.0291,34.5189,21.8849,78.4118,35.2842,52.2153,2.9146,0.6098,0.418,15.498,7.6149,10.8179,0.1155,9.0817,583.8285,40.2994,40.9657,53.1287,52.3648,0.3968,52.7801,303.6537
76561198156880025,sh1tlord5,faceit,10,29875.0,10,3418.0,4.25,18.0,,20,8,2.5,0.0966,1858,17,91.7736,68.0822,56.2211,0.1604,0.0273,0.038,0.0471,39.8148,24.5598,79.393,48.5977,60.2125,2.7818,0.6948,0.5111,9.7339,8.3152,8.6068,0.9732,8.6148,546.3043,42.6344,33.3024,42.1518,47.5697,0.4068,53.0507,385.2484
76561197994278546,786432,faceit,10,24446.0,10,2303.0,3.5999999999999996,15.0,,17,9,1.89,0.044,1838,17,74.2154,64.4309,63.2341,0.1265,0.0262,0.0488,0.021,33.7124,20.8236,78.038,42.4999,56.7813,2.7191,0.441,0.3103,6.8254,12.3151,7.9784,0.231,8.7892,579.5514,33.1594,43.459,44.2124,54.3632,0.3369,46.6984,274.4914
76561198288987095,peppa,faceit,10,27974.0,10,3237.0,1.94,18.0,,11,9,1.22,-0.0239,1101,17,82.6391,61.0261,58.8088,0.1385,0.0218,0.0088,0.03,32.7151,29.5339,81.769,35.4133,51.5602,3.0856,0.6908,0.5234,12.6618,10.2844,4.1282,0.376,9.9705,596.2799,35.4702,30.7316,39.4384,47.0928,0.3762,58.8714,343.5053
76561198346193867,BIG-Z,faceit,10,26417.0,10,2595.0,0.58,11.0,,7,13,0.54,-0.0628,986,17,75.4903,55.1717,59.5475,0.1126,0.009,-0.0021,0.0139,32.3133,23.8937,72.0396,32.2162,41.1945,2.741,0.5976,0.3294,5.8524,8.8944,8.257,0.1401,8.9074,539.118,35.6294,37.8186,44.4956,47.6856,0.3697,43.3796,364.8913
76561198846482178,K1K1NA,faceit,10,,10,2341.0,0.89,,,7,16,0.44,-0.0357,1108,17,84.6136,60.2568,50.8465,0.1116,0.0236,0.0083,0.0094,34.8769,25.0209,83.6928,30.265,44.0715,2.7579,0.5648,0.5175,7.453,9.649,6.4035,0.9461,8.3463,609.0998,35.7245,37.691,40.0311,50.9837,0.4202,47.3005,333.3105
76561198044739114,weine,faceit,10,30979.0,10,2777.0,4.05,16.0,,10,12,0.83,-0.0029,1410,19,88.2977,72.2405,63.9886,0.1386,0.0178,0.0467,0.0333,36.4849,21.3289,81.5569,50.2381,66.2038,2.8119,0.6653,0.4639,12.4481,10.5977,6.1397,1.2357,8.007,533.424,38.8176,36.3386,42.0982,57.8542,0.4055,47.8916,262.5109
76561199152710615,Driftzzzzz,faceit,10,25910.0,10,3598.0,0.6,,,15,8,1.88,0.0726,1668,17,85.9929,67.0031,59.0422,0.1283,0.0177,-0.0003,0.0127,39.9249,23.2348,79.4353,51.9798,61.5365,2.5622,0.7215,0.5673,6.8129,12.4081,8.1483,0.5344,9.9502,577.1084,38.9148,43.1913,53.0829,52.0767,0.3201,43.9623,333.369
76561198340139917,SkyyZ-,faceit,10,24114.0,10,2486.0,2.46,,,15,12,1.25,0.0155,1503,19,88.8767,60.2568,70.3774,0.1376,0.0032,0.0239,0.0252,34.5382,22.1768,85.053,33.7804,50.8383,2.9831,0.6722,0.4154,8.8774,17.8735,8.2704,0.0783,8.5908,520.4177,38.9153,34.2099,40.155,56.9664,0.3491,50.4509,279.032
76561197982819923,FRIZZY,faceit,10,,10,3360.0,3.51,16.0,,7,18,0.39,-0.0578,1220,19,91.9243,65.1732,80.6321,0.1072,0.0171,0.0296,0.0411,37.7132,25.803,83.6661,46.3653,55.5195,3.0483,0.6991,0.4098,13.14,18.5153,8.816,0.5733,8.45,558.1987,40.7301,30.3946,35.5642,56.6539,0.3783,51.9998,165.5961
76561199033266459,bingus,faceit,10,30000.0,10,2739.0,2.94,17.0,,10,16,0.63,-0.069,1410,19,88.1,57.926,43.0994,0.1104,0.0165,0.0378,0.0207,35.8642,23.6921,88.8231,39.1458,54.0317,2.2019,0.4651,0.4123,6.5461,4.9984,5.3377,0.4158,8.2441,612.3723,37.1363,33.8754,40.7657,57.1118,0.2869,49.9463,307.8037
